artist,track,time,date.entered,week,position
Blink-182,All The Small Things,2:52,1999-12-04,1,89
Bloodhound Gang,The Bad Touch,4:20,2000-03-18,1,70
Bon Jovi,It's My Life,3:44,2000-08-12,1,64
"Braxton, Toni",He Wasn't Man Enough,4:21,2000-03-18,1,63
"Braxton, Toni",Just Be A Man About ...,4:10,2000-07-29,1,76
"Braxton, Toni",Spanish Guitar,4:24,2000-12-02,1,98
"Brock, Chad",A Country Boy Can Su...,3:54,2000-01-01,1,93
"Brock, Chad",Yes!,3:22,2000-04-08,1,90
Brooks & Dunn,You'll Always Be Lov...,2:58,2000-06-10,1,95
"Brooks, Garth",Do What You Gotta Do,2:56,2000-02-19,1,86
"Byrd, Tracy",Put Your Hand In Min...,4:30,2000-01-29,1,81
"Cagle, Chris",My Love Goes On And ...,3:02,2000-10-21,1,99
Cam'ron,What Means The World...,4:38,2000-10-14,1,94
"Carey, Mariah",Crybaby,5:19,2000-06-24,1,28
"Carey, Mariah",Thank God I Found Yo...,4:14,1999-12-11,1,82
"Carter, Aaron",Aaron's Party (Come ...,3:23,2000-08-26,1,99
"Carter, Torrey",Take That,3:43,2000-06-24,1,94
Changing Faces,That Other Woman,4:00,2000-09-30,1,80
"Chesney, Kenny",I Lost It,3:54,2000-10-21,1,75
"Chesney, Kenny",What I Need To Do,4:05,2000-04-01,1,79
Clark Family Experience,Meanwhile Back At Th...,2:56,2000-11-18,1,87
"Clark, Terri",A Little Gasoline,3:07,2000-12-16,1,75
Common,The Light,3:55,2000-08-05,1,75
Counting Crows,Hanginaround,4:07,1999-11-06,1,84
Creed,Higher,5:16,1999-09-11,1,81
Creed,With Arms Wide Open,3:52,2000-05-13,1,84
"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45,2000-09-23,1,97
D'Angelo,Left & Right,4:35,1999-12-11,1,93
D'Angelo,Untitled (How Does I...,7:10,2000-01-22,1,77
DMX,Party Up (Up In Here...,3:45,2000-02-26,1,88
DMX,What You Want,4:05,2000-07-01,1,98
DMX,What's My Name,3:50,2000-01-15,1,98
Da Brat,That's What I'm Look...,3:44,2000-02-26,1,93
Da Brat,What'Chu Like,3:57,2000-06-03,1,71
"Davidson, Clay",Unconditional,3:56,2000-03-25,1,97
De La Soul,All Good?,5:02,2000-12-23,1,96
Destiny's Child,Independent Women Pa...,3:38,2000-09-23,1,78
Destiny's Child,Jumpin' Jumpin',3:48,2000-05-13,1,74
Destiny's Child,Say My Name,4:31,1999-12-25,1,83
"Diffie, Joe",It's Always Somethin...,2:55,2000-08-12,1,81
"Diffie, Joe",The Quittin' Kind,3:23,2000-01-01,1,98
"Dion, Celine",That's The Way It Is,4:03,1999-11-13,1,74
"Dixie Chicks, The",Cold Day In July,5:12,2000-06-24,1,80
"Dixie Chicks, The",Cowboy Take Me Away,4:51,1999-11-27,1,79
"Dixie Chicks, The",Goodbye Earl,4:19,2000-03-18,1,40
"Dixie Chicks, The",Without You,3:32,2000-10-07,1,80
Dr. Dre,Forgot About Dre,3:42,2000-01-22,1,75
Dr. Dre,The Next Episode,2:38,2000-05-27,1,78
Drama,"Left, Right, Left",3:37,2000-02-12,1,100
Dream,He Loves U Not,3:43,2000-09-30,1,99
"Eastsidaz, The",G'D Up,4:27,2000-01-08,1,77
"Eastsidaz, The",Got Beef,3:58,2000-07-01,1,99
Eiffel 65,Blue,3:29,1999-12-11,1,67
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,1999-11-27,1,36
Eminem,Stan,5:26,2000-11-04,1,78
Eminem,The Real Slim Shady,4:42,2000-05-06,1,70
Eminem,The Way I Am,4:40,2000-08-26,1,87
En Vogue,Riddle,5:10,2000-06-17,1,92
"Estefan, Gloria",No Me Dejes De Quere...,3:25,2000-06-10,1,77
"Evans, Sara",Born To Fly,5:36,2000-10-21,1,77
Eve,Got It All,3:48,2000-07-15,1,89
Eve,Love Is Blind,3:51,2000-01-08,1,94
Everclear,Wonderful,4:30,2000-07-08,1,77
"Fabian, Lara",I Will Love Again,3:43,2000-06-10,1,91
Fatboy Slim,The Rockafeller Skan...,4:00,1999-11-13,1,94
Filter,Take A Picture,4:23,1999-11-27,1,91
Foo Fighters,Learn To Fly,3:55,1999-10-16,1,80
Fragma,Toca's Miracle,3:22,2000-10-28,1,99
Funkmaster Flex,Do You,4:14,2000-11-11,1,92
Ghostface Killah,Cherchez LaGhost,3:04,2000-08-05,1,98
"Gill, Vince",Feels Like Love,4:13,2000-09-02,1,82
"Gilman, Billy",One Voice,4:07,2000-06-17,1,86
Ginuwine,None Of Ur Friends B...,4:12,1999-12-11,1,94
Ginuwine,The Best Man I Can B...,4:06,2000-01-08,1,97
Goo Goo Dolls,Broadway,3:54,2000-04-22,1,74
"Gray, Macy",I Try,3:52,2000-02-19,1,68
"Griggs, Andy",She's More,3:19,2000-03-11,1,81
Guy,Dancin',4:08,1999-12-18,1,46
Hanson,This Time Around,4:14,2000-04-22,1,22
"Hart, Beth",L.A. Song,3:47,1999-11-27,1,99
"Heatherly, Eric",Flowers On The Wall,3:16,2000-04-29,1,95
"Henley, Don",Taking You Home,4:08,2000-06-24,1,79
"Herndon, Ty",No Mercy,4:43,2000-03-18,1,100
"Hill, Faith",Breathe,4:04,1999-11-06,1,81
"Hill, Faith",Let's Make Love,4:11,2000-08-12,1,83
Hoku,Another Dumb Blonde,3:47,2000-02-19,1,69
"Hollister, Dave",Can't Stay,6:17,2000-03-25,1,84
Hot Boys,I Need A Hot Girl,4:16,2000-02-19,1,77
"Houston, Whitney",Could I Have This Ki...,3:54,2000-06-17,1,74
"Houston, Whitney",I Learned From The B...,4:18,2000-02-19,1,83
"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,1,81
"Houston, Whitney","Same Script, Differe...",4:45,2000-06-17,1,71
IMx,Stay The Night,3:37,1999-10-09,1,84
Ice Cube,You Can Do It,4:20,1999-12-04,1,86
Ideal,Whatever,3:48,2000-06-10,1,75
"Iglesias, Enrique",Be With You,3:36,2000-04-01,1,63
"Iglesias, Enrique",Rhythm Divine,7:35,1999-12-04,1,90
J-Shin,One Night Stand,4:34,1999-12-25,1,96
Ja Rule,Between Me And You,4:05,2000-09-16,1,85
"Jackson, Alan",It Must Be Love,2:53,2000-06-24,1,76
"Jackson, Alan",Pop A Top,3:04,1999-11-13,1,79
"Jackson, Alan",www.memory,2:36,2000-11-04,1,75
Jagged Edge,He Can't Love U,3:30,1999-12-11,1,54
Jagged Edge,Let's Get Married,4:23,2000-05-06,1,77
Janet,Doesn't Really Matte...,4:17,2000-06-17,1,59
Jay-Z,Anything,3:41,2000-02-26,1,72
Jay-Z,Big Pimpin',3:55,2000-04-22,1,69
Jay-Z,Do It Again (Put Ya ...,3:47,2000-01-15,1,95
Jay-Z,Hey Papi,3:40,2000-08-12,1,98
Jay-Z,I Just Wanna Love U ...,3:50,2000-10-28,1,58
"Jean, Wyclef",911,4:00,2000-10-07,1,77
Joe,I Wanna Know,4:57,2000-01-01,1,94
Joe,Treat Her Like A Lad...,4:12,2000-08-05,1,77
"John, Elton",Someday Out Of The B...,4:41,2000-04-22,1,56
"Jones, Donell",Where I Wanna Be,6:22,2000-04-22,1,81
"Jordan, Montell",Get It On.. Tonite,4:34,1999-10-23,1,92
Juvenile,U Understand,3:51,2000-02-05,1,85
Kandi,Don't Think I'm Not,3:50,2000-08-05,1,66
"Keith, Toby",Country Comes To Tow...,3:39,2000-08-05,1,82
"Keith, Toby",How Do You Like Me N...,3:29,2000-01-29,1,77
Kelis,Caught Out There,4:09,1999-12-04,1,84
Kenny G,Auld Lang Syne (The ...,7:50,1999-12-25,1,89
Kid Rock,Only God Knows Why,5:27,2000-02-19,1,63
"Kravitz, Lenny",I Belong To You,4:17,2000-03-25,1,78
Kumbia Kings,U Don't Love Me,3:50,2000-03-04,1,81
LFO,I Don't Wanna Kiss Y...,5:00,2000-04-15,1,63
LFO,West Side Story,3:27,2000-08-05,1,96
LL Cool J,Imagine That,4:00,2000-08-12,1,99
"Larrieux, Amel",Get Up,4:02,2000-03-04,1,100
"Lawrence, Tracy",Lessons Learned,2:55,2000-01-29,1,80
"Levert, Gerald",Baby U Are,4:10,2000-08-19,1,96
"Levert, Gerald",Mr. Too Damn Good,4:06,2000-03-18,1,84
Lil Bow Wow,Bounce With Me,3:22,2000-08-19,1,48
Lil Wayne,Tha Block Is Hot,4:13,1999-12-04,1,99
Lil' Kim,How Many Licks?,3:50,2000-11-25,1,79
Lil' Kim,No Matter What They ...,4:12,2000-07-15,1,80
Lil' Mo,Ta Da,4:17,2000-08-12,1,100
Lil' Zane,Callin' Me,3:43,2000-07-29,1,83
Limp Bizkit,N 2 Gether Now,3:55,1999-12-04,1,94
Limp Bizkit,Re-Arranged,4:08,1999-12-04,1,91
Limp Bizkit,Rollin',4:04,2000-11-11,1,77
Lonestar,Amazed,4:25,1999-06-05,1,81
Lonestar,Smile,3:33,1999-12-18,1,89
Lonestar,What About Now,3:30,2000-06-10,1,78
"Lopez, Jennifer",Feelin' Good,4:28,2000-02-19,1,79
"Loveless, Patty",That's The Kind Of M...,3:27,2000-09-16,1,98
Lox,"Ryde or Die, Chick",3:56,2000-03-18,1,86
Lucy Pearl,Dance Tonight,3:45,2000-05-20,1,80
Ludacris,What's Your Fantasy,4:16,2000-09-30,1,89
M2M,Don't Say You Love M...,3:41,1999-11-20,1,72
M2M,Mirror Mirror,3:19,2000-04-01,1,87
Madison Avenue,Don't Call Me Baby,3:44,2000-07-08,1,98
Madonna,American Pie,4:30,2000-02-19,1,43
Madonna,Music,3:45,2000-08-12,1,41
"Martin, Ricky",Private Emotion,4:02,2000-03-11,1,76
"Martin, Ricky",Shake Your Bon-Bon,3:08,1999-11-20,1,74
"Martin, Ricky",She Bangs,4:02,2000-10-07,1,38
Mary Mary,Shackles (Praise You...,3:12,2000-03-25,1,90
Master P,Souljas,3:33,2000-11-18,1,98
"McBride, Martina",Love's The Only Hous...,5:13,2000-02-05,1,79
"McBride, Martina",There You Are,3:26,2000-09-09,1,79
"McEntire, Reba",I'll Be,4:23,2000-05-13,1,89
"McEntire, Reba",What Do You Say,3:26,1999-10-30,1,88
"McGraw, Tim",My Best Friend,4:33,1999-11-27,1,85
"McGraw, Tim",My Next Thirty Years,3:37,2000-10-21,1,73
"McGraw, Tim",Some Things Never Ch...,3:56,2000-05-13,1,76
"McKnight, Brian",Stay Or Let It Go,4:32,2000-02-26,1,95
"Messina, Jo Dee",Because You Love Me,3:50,2000-01-29,1,83
"Messina, Jo Dee",That's The Way,3:17,2000-06-24,1,78
Metallica,I Disappear,4:26,2000-05-13,1,86
Metallica,No Leaf Clover (Live...,5:43,2000-02-12,1,86
Montgomery Gentry,Daddy Won't Sell The...,4:18,2000-03-04,1,87
"Montgomery, John Michael",The Little Girl,3:52,2000-09-09,1,81
"Moore, Chante",Straight Up,3:40,2000-10-28,1,98
"Moore, Mandy",I Wanna Be With You,4:12,2000-06-17,1,69
"Mumba, Samantha",Gotta Tell You,3:19,2000-09-09,1,85
Musiq,Just Friends,4:02,2000-10-14,1,89
Mya,Case Of The Ex (What...,3:50,2000-08-19,1,72
Mya,The Best Of Me,4:12,2000-04-15,1,85
Mystikal,Shake Ya Ass,4:46,2000-08-12,1,97
N'Sync,Bye Bye Bye,3:15,2000-01-29,1,42
N'Sync,It's Gonna Be Me,3:10,2000-05-06,1,82
N'Sync,This I Promise You,4:23,2000-09-30,1,68
Nas,You Owe Me,3:51,2000-03-25,1,74
Nelly,(Hot S**t) Country G...,4:17,2000-04-29,1,100
Next,Wifey,4:03,2000-05-27,1,85
Nine Days,Absolutely (Story Of...,3:09,2000-05-06,1,85
Nine Days,If I Am,4:18,2000-12-02,1,68
No Doubt,Simple Kind Of Life,4:11,2000-07-01,1,50
Nu Flavor,3 Little Words,3:54,2000-06-03,1,97
"Offspring, The",Original Prankster,3:42,2000-11-25,1,74
"Paisley, Brad",Me Neither,3:19,2000-05-13,1,87
"Paisley, Brad",We Danced,3:45,2000-10-14,1,71
Papa Roach,Last Resort,3:19,2000-07-29,1,75
Pearl Jam,Nothing As It Seems,5:20,2000-05-13,1,49
Pink,Most Girls,4:06,2000-08-12,1,85
Pink,There U Go,3:23,2000-03-04,1,25
"Price, Kelly",As We Lay,6:20,2000-07-15,1,82
"Price, Kelly",Love Sets You Free,3:46,2000-05-13,1,92
"Price, Kelly",You Should've Told M...,3:12,2000-09-23,1,91
Profyle,Liar,3:57,2000-09-16,1,52
Puff Daddy,Best Friend,5:33,2000-02-12,1,65
Q-Tip,Breathe And Stop,4:06,2000-01-22,1,71
R.E.M.,The Great Beyond,4:10,1999-12-25,1,79
Rascal Flatts,Prayin' For Daylight,3:36,2000-05-06,1,87
"Raye, Collin",Couldn't Last A Mome...,3:40,2000-03-18,1,91
Red Hot Chili Peppers,Californication,5:21,2000-07-29,1,72
Red Hot Chili Peppers,Otherside,4:13,2000-02-12,1,80
"Rimes, LeAnn",Big Deal,3:03,1999-10-16,1,71
"Rimes, LeAnn",Can't Fight The Moon...,3:33,2000-09-09,1,82
"Rimes, LeAnn",I Need You,3:42,2000-05-27,1,77
"Rogers, Kenny",Buy Me A Rose,3:46,2000-03-11,1,79
Ruff Endz,No More,3:56,2000-07-01,1,76
Sammie,I Like It,4:09,2000-01-29,1,85
Santana,"Maria, Maria",4:18,2000-02-12,1,15
Savage Garden,Crash And Burn,4:41,2000-04-08,1,75
Savage Garden,I Knew I Loved You,4:07,1999-10-23,1,71
SheDaisy,Deck The Halls,3:46,1999-12-25,1,97
SheDaisy,I Will.. But,3:40,2000-07-15,1,78
SheDaisy,This Woman Needs,3:20,2000-02-05,1,82
"Sheist, Shade",Where I Wanna Be,4:16,2000-11-11,1,96
Shyne,Bad Boyz,4:22,2000-09-09,1,94
"Simpson, Jessica",I Think I'm In Love ...,3:32,2000-07-01,1,63
"Simpson, Jessica",Where You Are,3:51,2000-04-01,1,73
Sisqo,Got To Get It,3:52,1999-11-20,1,92
Sisqo,Incomplete,3:52,2000-06-24,1,77
Sisqo,Thong Song,4:05,2000-01-29,1,74
Sister Hazel,Change Your Mind,4:02,2000-07-15,1,75
Smash Mouth,Then The Morning Com...,3:04,1999-10-30,1,83
"Smith, Will",Freakin' It,3:58,2000-02-12,1,99
Son By Four,A Puro Dolor (Purest...,3:30,2000-04-08,1,80
Sonique,It Feels So Good,3:48,2000-01-22,1,67
SoulDecision,Faded,3:25,2000-07-08,1,94
"Spears, Britney",From The Bottom Of M...,4:30,2000-01-29,1,76
"Spears, Britney",Lucky,3:23,2000-08-12,1,61
"Spears, Britney",Oops!.. I Did It Aga...,3:30,2000-04-22,1,67
"Spencer, Tracie",Still In My Heart,4:11,2000-03-04,1,95
Splender,I Think God Can Expl...,3:55,2000-06-10,1,71
Sting,Desert Rose,3:52,2000-05-13,1,98
Stone Temple Pilots,Sour Girl,4:16,2000-07-08,1,79
"Stone, Angie",No More Rain (In Thi...,4:42,1999-12-25,1,86
"Strait, George",Go On,3:48,2000-08-26,1,71
"Strait, George",The Best Day,3:24,2000-01-29,1,73
Sugar Ray,Falls Apart,4:15,2000-01-15,1,70
TLC,Dear Lie,4:36,2000-02-12,1,63
Tamar,If You Don't Wanna L...,4:02,2000-03-25,1,98
Tamia,Can't Go For That,3:38,2000-09-16,1,90
Third Eye Blind,Deep Inside Of You,4:10,2000-09-02,1,80
Third Eye Blind,Never Let You Go,3:57,2000-01-22,1,65
"Thomas, Carl",Emotional,4:31,2000-11-25,1,77
"Thomas, Carl",I Wish,3:50,2000-03-25,1,75
"Thomas, Carl",Summer Rain,4:57,2000-09-23,1,82
"Tippin, Aaron",Kiss This,2:53,2000-08-26,1,74
Train,Meet Virginia,3:55,1999-10-09,1,76
Trick Daddy,Shut Up,4:17,2000-05-20,1,99
Trina,Pull Over,2:58,2000-09-09,1,97
"Tritt, Travis",Best Of Intentions,4:15,2000-08-19,1,97
Tuesday,I Know,4:06,2000-12-30,1,98
"Urban, Keith",Your Everything,4:10,2000-07-15,1,81
Usher,Pop Ya Collar,3:36,2000-11-04,1,68
"Vassar, Phil",Carlene,4:07,2000-03-04,1,75
"Vassar, Phil",Just Another Day In ...,3:54,2000-09-30,1,81
Vertical Horizon,Everything You Want,4:01,2000-01-22,1,70
Vertical Horizon,You're A God,3:45,2000-08-26,1,64
Vitamin C,Graduation (Friends ...,4:23,2000-04-15,1,81
Vitamin C,The Itch,3:30,2000-12-02,1,86
"Walker, Clay","Live, Laugh, Love",4:06,1999-12-04,1,95
"Walker, Clay",The Chain Of Love,5:03,2000-04-15,1,73
"Wallflowers, The",Sleepwalker,3:29,2000-10-28,1,73
Westlife,Swear It Again,4:07,2000-04-01,1,96
"Williams, Robbie",Angels,3:56,1999-11-20,1,85
"Wills, Mark",Back At One,4:00,2000-01-15,1,89
"Worley, Darryl",When You Need My Lov...,3:35,2000-06-17,1,98
"Wright, Chely",It Was,3:51,2000-03-04,1,86
Yankee Grey,Another Nine Minutes,3:10,2000-04-29,1,86
"Yearwood, Trisha",Real Live Woman,3:55,2000-04-01,1,85
Ying Yang Twins,Whistle While You Tw...,4:19,2000-03-18,1,95
Zombie Nation,Kernkraft 400,3:30,2000-09-02,1,99
matchbox twenty,Bent,4:12,2000-04-29,1,60
2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,2,82
2Ge+her,The Hardest Part Of ...,3:15,2000-09-02,2,87
3 Doors Down,Kryptonite,3:53,2000-04-08,2,70
3 Doors Down,Loser,4:24,2000-10-21,2,76
504 Boyz,Wobble Wobble,3:35,2000-04-15,2,34
98^0,Give Me Just One Nig...,3:24,2000-08-19,2,39
A*Teens,Dancing Queen,3:44,2000-07-08,2,97
Aaliyah,I Don't Wanna,4:15,2000-01-29,2,62
Aaliyah,Try Again,4:03,2000-03-18,2,53
"Adams, Yolanda",Open My Heart,5:30,2000-08-26,2,76
"Adkins, Trace",More,3:05,2000-04-29,2,84
"Aguilera, Christina",Come On Over Baby (A...,3:38,2000-08-05,2,47
"Aguilera, Christina",I Turn To You,4:00,2000-04-15,2,39
"Aguilera, Christina",What A Girl Wants,3:18,1999-11-27,2,51
Alice Deejay,Better Off Alone,6:50,2000-04-08,2,65
"Allan, Gary",Smoke Rings In The D...,4:18,2000-01-22,2,78
Amber,Sexual,4:38,1999-07-17,2,99
"Anthony, Marc",My Baby You,3:59,2000-09-16,2,76
"Anthony, Marc",You Sang To Me,3:50,2000-02-26,2,54
Avant,My First Love,4:28,2000-11-04,2,62
Avant,Separated,4:13,2000-04-29,2,32
BBMak,Back Here,3:35,2000-04-29,2,86
"Backstreet Boys, The",Shape Of My Heart,3:49,2000-10-14,2,25
"Backstreet Boys, The",Show Me The Meaning ...,3:54,2000-01-01,2,62
"Backstreet Boys, The",The One,3:46,2000-05-27,2,50
"Badu, Erkyah",Bag Lady,5:03,2000-08-19,2,53
Baha Men,Who Let The Dogs Out,3:17,2000-07-22,2,92
Barenaked Ladies,Pinch Me,3:46,2000-09-09,2,76
Beenie Man,Girls Dem Sugar,4:17,2000-10-21,2,72
Before Dark,Monica,4:04,2000-05-20,2,87
"Bega, Lou",Tricky Tricky ,3:23,2000-01-29,2,74
Big Punisher,It's So Hard,3:25,2000-04-22,2,87
Black Rob,Whoa!,4:04,2000-03-04,2,59
"Black, Clint",Been There,5:28,2000-02-19,2,73
Blaque,Bring It All To Me,3:46,1999-10-23,2,63
"Blige, Mary J.",Deep Inside,5:26,1999-11-13,2,80
"Blige, Mary J.",Give Me You,5:00,2000-04-15,2,94
Blink-182,All The Small Things,2:52,1999-12-04,2,76
Bloodhound Gang,The Bad Touch,4:20,2000-03-18,2,62
Bon Jovi,It's My Life,3:44,2000-08-12,2,58
"Braxton, Toni",He Wasn't Man Enough,4:21,2000-03-18,2,55
"Braxton, Toni",Just Be A Man About ...,4:10,2000-07-29,2,69
"Braxton, Toni",Spanish Guitar,4:24,2000-12-02,2,98
"Brock, Chad",A Country Boy Can Su...,3:54,2000-01-01,2,75
"Brock, Chad",Yes!,3:22,2000-04-08,2,77
Brooks & Dunn,You'll Always Be Lov...,2:58,2000-06-10,2,85
"Brooks, Garth",Do What You Gotta Do,2:56,2000-02-19,2,81
"Byrd, Tracy",Put Your Hand In Min...,4:30,2000-01-29,2,77
"Cagle, Chris",My Love Goes On And ...,3:02,2000-10-21,2,94
Cam'ron,What Means The World...,4:38,2000-10-14,2,94
"Carey, Mariah",Crybaby,5:19,2000-06-24,2,34
"Carey, Mariah",Thank God I Found Yo...,4:14,1999-12-11,2,68
"Carter, Aaron",Aaron's Party (Come ...,3:23,2000-08-26,2,75
"Carter, Torrey",Take That,3:43,2000-06-24,2,88
Changing Faces,That Other Woman,4:00,2000-09-30,2,72
"Chesney, Kenny",I Lost It,3:54,2000-10-21,2,67
"Chesney, Kenny",What I Need To Do,4:05,2000-04-01,2,74
Clark Family Experience,Meanwhile Back At Th...,2:56,2000-11-18,2,86
"Clark, Terri",A Little Gasoline,3:07,2000-12-16,2,82
Common,The Light,3:55,2000-08-05,2,55
Counting Crows,Hanginaround,4:07,1999-11-06,2,70
Creed,Higher,5:16,1999-09-11,2,77
Creed,With Arms Wide Open,3:52,2000-05-13,2,78
"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45,2000-09-23,2,97
D'Angelo,Left & Right,4:35,1999-12-11,2,77
D'Angelo,Untitled (How Does I...,7:10,2000-01-22,2,56
DMX,Party Up (Up In Here...,3:45,2000-02-26,2,74
DMX,What You Want,4:05,2000-07-01,2,95
DMX,What's My Name,3:50,2000-01-15,2,76
Da Brat,That's What I'm Look...,3:44,2000-02-26,2,73
Da Brat,What'Chu Like,3:57,2000-06-03,2,65
"Davidson, Clay",Unconditional,3:56,2000-03-25,2,97
De La Soul,All Good?,5:02,2000-12-23,2,96
Destiny's Child,Independent Women Pa...,3:38,2000-09-23,2,63
Destiny's Child,Jumpin' Jumpin',3:48,2000-05-13,2,71
Destiny's Child,Say My Name,4:31,1999-12-25,2,83
"Diffie, Joe",It's Always Somethin...,2:55,2000-08-12,2,78
"Diffie, Joe",The Quittin' Kind,3:23,2000-01-01,2,100
"Dion, Celine",That's The Way It Is,4:03,1999-11-13,2,68
"Dixie Chicks, The",Cold Day In July,5:12,2000-06-24,2,79
"Dixie Chicks, The",Cowboy Take Me Away,4:51,1999-11-27,2,72
"Dixie Chicks, The",Goodbye Earl,4:19,2000-03-18,2,29
"Dixie Chicks, The",Without You,3:32,2000-10-07,2,70
Dr. Dre,Forgot About Dre,3:42,2000-01-22,2,55
Dr. Dre,The Next Episode,2:38,2000-05-27,2,67
Drama,"Left, Right, Left",3:37,2000-02-12,2,98
Dream,He Loves U Not,3:43,2000-09-30,2,92
"Eastsidaz, The",G'D Up,4:27,2000-01-08,2,77
"Eastsidaz, The",Got Beef,3:58,2000-07-01,2,99
Eiffel 65,Blue,3:29,1999-12-11,2,29
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,1999-11-27,2,21
Eminem,Stan,5:26,2000-11-04,2,67
Eminem,The Real Slim Shady,4:42,2000-05-06,2,32
Eminem,The Way I Am,4:40,2000-08-26,2,74
En Vogue,Riddle,5:10,2000-06-17,2,92
"Evans, Sara",Born To Fly,5:36,2000-10-21,2,71
Eve,Got It All,3:48,2000-07-15,2,88
Eve,Love Is Blind,3:51,2000-01-08,2,91
Everclear,Wonderful,4:30,2000-07-08,2,69
"Fabian, Lara",I Will Love Again,3:43,2000-06-10,2,80
Fatboy Slim,The Rockafeller Skan...,4:00,1999-11-13,2,94
Filter,Take A Picture,4:23,1999-11-27,2,74
Foo Fighters,Learn To Fly,3:55,1999-10-16,2,69
Funkmaster Flex,Do You,4:14,2000-11-11,2,92
"Gill, Vince",Feels Like Love,4:13,2000-09-02,2,76
"Gilman, Billy",One Voice,4:07,2000-06-17,2,86
Ginuwine,None Of Ur Friends B...,4:12,1999-12-11,2,84
Ginuwine,The Best Man I Can B...,4:06,2000-01-08,2,97
Goo Goo Dolls,Broadway,3:54,2000-04-22,2,58
"Gray, Macy",I Try,3:52,2000-02-19,2,51
"Griggs, Andy",She's More,3:19,2000-03-11,2,76
Guy,Dancin',4:08,1999-12-18,2,29
Hanson,This Time Around,4:14,2000-04-22,2,22
"Hart, Beth",L.A. Song,3:47,1999-11-27,2,100
"Heatherly, Eric",Flowers On The Wall,3:16,2000-04-29,2,88
"Henley, Don",Taking You Home,4:08,2000-06-24,2,77
"Herndon, Ty",No Mercy,4:43,2000-03-18,2,99
"Hill, Faith",Breathe,4:04,1999-11-06,2,68
"Hill, Faith",Let's Make Love,4:11,2000-08-12,2,83
Hoku,Another Dumb Blonde,3:47,2000-02-19,2,49
"Hollister, Dave",Can't Stay,6:17,2000-03-25,2,84
Hot Boys,I Need A Hot Girl,4:16,2000-02-19,2,75
"Houston, Whitney",Could I Have This Ki...,3:54,2000-06-17,2,68
"Houston, Whitney",I Learned From The B...,4:18,2000-02-19,2,83
"Houston, Whitney",My Love Is Your Love,4:16,1999-09-04,2,68
"Houston, Whitney","Same Script, Differe...",4:45,2000-06-17,2,71
IMx,Stay The Night,3:37,1999-10-09,2,61
Ice Cube,You Can Do It,4:20,1999-12-04,2,66
Ideal,Whatever,3:48,2000-06-10,2,75
"Iglesias, Enrique",Be With You,3:36,2000-04-01,2,45
"Iglesias, Enrique",Rhythm Divine,7:35,1999-12-04,2,84
J-Shin,One Night Stand,4:34,1999-12-25,2,96
